"Species","Lifespan","Mean lifespan
(±SD)","Median lifespan","Source","Original source","Original source text","Class","Number of species represented in class","Order","Number of species represented in order","Family","Number of species represented in family","Genus","Number of species represented in genus","Number of reported lifespans for species"
"Clupea harengus",16,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 52104","Ojaveer, E. , 2003 Baltic herring, Clupea harengus membras L.. p. 58-79. In E. Ojaveer, E. Pihu and T. Saat (eds.) Fishes of Estonia. Estonian Academy Publishers, Tallinn. 416 p.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",10,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 52104","Ojaveer, E. , 2003 Baltic herring, Clupea harengus membras L.. p. 58-79. In E. Ojaveer, E. Pihu and T. Saat (eds.) Fishes of Estonia. Estonian Academy Publishers, Tallinn. 416 p.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",10,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92457","Beyer, J. and H. Lassen , 1994 The effect of size-selective mortality on size-at-age Baltic herring. Dana 10:203-234.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",8,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",8,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",8,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",7,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",15,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",14,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",8,"15.12 ± 5.53",15,"FishBase","FishBase ref no.: 92450","Brunel, T. and M. Dickey-Collas , 2010 Effects of temperature and population density on von Bertalanffy growth parameters in Atlantic herring: a macro-ecological analysis. Mar. Ecol. Prog. Ser. 405:15-28.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",22,"15.12 ± 5.53",15,"AnAge","AnAge ref no.: 1","Carey and Judge (2000) Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",19,"15.12 ± 5.53",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [71]","Flower, M.S.S., 1935. Further notes on the duration of life in animals. - I. Fishes: as determined by otolith and scale - readings and direct observations on living animals. Proceedings of the Zoological Society of London 1935: 265.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Clupea harengus",22,"15.12 ± 5.53",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [115] [168]","Lea, B.E., 1930. Mortality in the tribe of Norwegian herring. Rapports et Proces-Verbaux Des Reunions 65: 100-117.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Clupea",1,41
"Limnothrissa miodon",2.3,"2.3 ± NA",2.3,"Published articles","Kimura, S., 1995. Growth of the clupeid fishes, Stolothrissa tanganicae and Limnothrissa miodon, in the Zambian waters of Lake Tanganyika. Journal of fish biology, 47(4), pp.569-575.",NA,"Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Limnothrissa",1,1
"Sardina pilchardus",15,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 35388","Muus, B.J. and J.G. Nielsen , 1999 Sea fish. Scandinavian Fishing Year Book, Hedehusene, Denmark. 340 p.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",8,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 833","Holt, S.J. , 1960 A preliminary comparative study of the growth, maturity and mortality of sardines. p. 553-561. In H. Rosa, Jr. and G. Murphy (eds.) Proc. World. Scient. Meet. Biology Sardines and Related Species. 2(2), Subject Synops. (2), FAO , Rome.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",14,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 833","Holt, S.J. , 1960 A preliminary comparative study of the growth, maturity and mortality of sardines. p. 553-561. In H. Rosa, Jr. and G. Murphy (eds.) Proc. World. Scient. Meet. Biology Sardines and Related Species. 2(2), Subject Synops. (2), FAO , Rome.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",10,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 839","Beverton, R.J.H. , 1963 Maturation, growth and mortality of clupeid and engraulid stocks in relation to fishing. Cons. Perm. Int. Explor. Mer, Rapp. p.-v. Réun. 154:44-67.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",4,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 27030","Stergiou, K.I., E.D. Christou, D. Georgopoulous, A. Zenetos and C. Souvermezoglou , 1997 The Hellenic seas: physics, chemistry, biology and fisheries. p. 415-538. In A.D. Ansell, R.N. Gibson and M. Barnes (eds.). Oceanography and marine biology: an annual review. UCL Press.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",13,"11.29 ± 4.15",13,"FishBase","FishBase ref no.: 92243","Silva, A., P. Carrera, J. Massé, A. D. Uriarte, M. B. Santos, P. B. Oliveira, E. Soares, C. Porteiro and Y. Stratoudakis , 2008 Geographic variability of sardine growth across the northeastern Atlantic and the Mediterranean Sea. Fish. Res. 90:56-69.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Sardina pilchardus",15,"11.29 ± 4.15",13,"AnAge","AnAge ref no.: 454","Froese and Pauly FishBase","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Sardina",1,7
"Tenualosa ilisha",5,"5 ± 0",5,"FishBase","FishBase ref no.: 43871","Al-Baz, A.F. and D.J. Grove , 1995 Population biology of sbour Tenualosa ilisha (Hamilton-Buchanan) in Kuwait. Asian Fish. Sci. 8(3-4):239-254.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Tenualosa",1,2
"Tenualosa ilisha",5,"5 ± 0",5,"FishBase","FishBase ref no.: 43871","Al-Baz, A.F. and D.J. Grove , 1995 Population biology of sbour Tenualosa ilisha (Hamilton-Buchanan) in Kuwait. Asian Fish. Sci. 8(3-4):239-254.","Actinopteri",425,"Clupeiformes",7,"Clupeidae",6,"Tenualosa",1,2
"Coilia nasus",5,"5 ± NA",5,"FishBase","FishBase ref no.: 5982","Yu, T. , 1992 Growth characteristics and critical age of Coilia ectenes taihuensis. Asian Fish. Sci. 5:83-87.","Actinopteri",425,"Clupeiformes",7,"Engraulidae",1,"Coilia",1,1
"Myxocyprinus asiaticus",8,"11.5 ± 4.95",11.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Catostomidae",1,"Myxocyprinus",1,2
"Myxocyprinus asiaticus",15,"11.5 ± 4.95",11.5,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Catostomidae",1,"Myxocyprinus",1,2
"Barbus barbus",15,"12.08 ± 4.43",12.75,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Barbus barbus",15,"12.08 ± 4.43",12.75,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Barbus barbus",17,"12.08 ± 4.43",12.75,"FishBase","FishBase ref no.: 85472","Prokes, M., P. Sovcik, M. Penaz, V. Barus, P. Spurny and L. Vilizz , 2006 Growth of barbel, Barbus barbus, in the River Jihlava following major habitat alteration and estimated by two methods. Folia Zool. 55(1):86-96.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Barbus barbus",10.5,"12.08 ± 4.43",12.75,"FishBase","FishBase ref no.: 85472","Prokes, M., P. Sovcik, M. Penaz, V. Barus, P. Spurny and L. Vilizz , 2006 Growth of barbel, Barbus barbus, in the River Jihlava following major habitat alteration and estimated by two methods. Folia Zool. 55(1):86-96.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Barbus barbus",5,"12.08 ± 4.43",12.75,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Barbus barbus",10,"12.08 ± 4.43",12.75,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Barbus",1,6
"Carassius auratus",41,"30.56 ± 10.92",30,"FishBase","FishBase ref no.: 72468","Bobick, J.E. and M. Peffer , 1993 Science and technology desk reference. Gale Research Inc.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",30,"30.56 ± 10.92",30,"FishBase","FishBase ref no.: 3672","Carlander, K.D. , 1969 Handbook of freshwater fishery biology, volume 1. The Iowa State University Press, Ames. Iowa. 752 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",30,"30.56 ± 10.92",30,"FishBase","FishBase ref no.: 3672","Carlander, K.D. , 1969 Handbook of freshwater fishery biology, volume 1. The Iowa State University Press, Ames. Iowa. 752 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",17,"30.56 ± 10.92",30,"FishBase","FishBase ref no.: 7029","Yie, F. , 1988 Study on life-history pattern of seven freshwater fishes in the Dongjiang River, Guangdong. Acta. Hydrobiol. Sin. Shuisheng Shengwu Xuebao 12(2):107-115.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",41,"30.56 ± 10.92",30,"AnAge","AnAge ref no.: 1","Carey and Judge (2000) Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",10,"30.56 ± 10.92",30,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",35,"30.56 ± 10.92",30,"The Aquarium Wiki","Unknown",NA,"Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",30,"30.56 ± 10.92",30,"Max Plank Institute for Demographic Research","MPIDR ref no.: [37] [70] [143]","Carlander, K.D., 1969. Handbook of Freshwater Biology I. Life History data on Freshwater fishes of the United States and  Canada, exclusive of the Perciformes Vol. 1. Ames: Iowa State University Press.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius auratus",41,"30.56 ± 10.92",30,"Max Plank Institute for Demographic Research","MPIDR ref no.: [30]","Bobick, J.E. and M. Peffer, eds.  1993. Science and Technology Desk Reference. Washington, D.C.: Gale Research Inc.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,9
"Carassius gibelio",10,"8.33 ± 2.89",10,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,3
"Carassius gibelio",10,"8.33 ± 2.89",10,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,3
"Carassius gibelio",5,"8.33 ± 2.89",10,"FishBase","FishBase ref no.: 97117","Kirankaya, &#350, .G. and F.G. Ekmekçi , 2013 Life-history traits of the invasive population of Prussian carp, Carassius gibelio(Actinopterigi: Cypriniformes: Cyprinidae), from Gelingüllü Reservoir, Yozgat, Turkey. Acta Ichthyol. Piscat. 43(1):31-40.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Carassius",2,3
"Cirrhinus cirrhosus",9,"9 ± NA",9,"FishBase","FishBase ref no.: 4397","Jhingran, V.G. and H.A. Khan , 1979 Synopsis of biological data on the mrigal Cirrhinus mrigala (Hamilton, 1822). FAO Fish. Synop. No. 120. 78 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cirrhinus",2,1
"Cirrhinus molitorella",26,"26 ± NA",26,"FishBase","FishBase ref no.: 7029","Yie, F. , 1988 Study on life-history pattern of seven freshwater fishes in the Dongjiang River, Guangdong. Acta. Hydrobiol. Sin. Shuisheng Shengwu Xuebao 12(2):107-115.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cirrhinus",2,1
"Cyprinus carpio",38,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 72479","Hinton , 1962 Horned shark, gar, mormyriad, characin, carp, armored catfish, arowana, upside down catfish. Not given.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",47,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 274","Flower, S.S. , 1935 Further notes on the duration of life in animals. I. Fishes: as determined by otolith and scale-readings and direct observations on living individuals. Proc. Zool. Soc. London 2:265-304.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",47,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 3672","Carlander, K.D. , 1969 Handbook of freshwater fishery biology, volume 1. The Iowa State University Press, Ames. Iowa. 752 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",20,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 6390","Kailola, P.J., M.J. Williams, P.C. Stewart, R.E. Reichelt, A. McNee and C. Grieve , 1993 Australian fisheries resources. Bureau of Resource Sciences, Canberra, Australia. 422 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",17,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 7029","Yie, F. , 1988 Study on life-history pattern of seven freshwater fishes in the Dongjiang River, Guangdong. Acta. Hydrobiol. Sin. Shuisheng Shengwu Xuebao 12(2):107-115.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",11,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 53847","Treer, T., B. Varga, R. Safner, I. Anicic, M. Piria and T. Odak , 2003 Growth of the common carp (Cyprinus carpio introduced into the Mediterranean Vransko Lake. J. Appl. Ichthyol. 19(6):383-386.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",7,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 58482","Kleanthidis, P.K. and K.I. Stergiou , 2006 Growth parameters and length-length relationships of Greek freshwater fishes. p. 69-77. In M.L.D. Palomares, K.I. Stergiou and D. Pauly (eds.) Fishes in databases and ecosystems. Fisheries Centre Research Reports 14(4). Fisheries Centre, University of British Columbia.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",50,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 59043","Kottelat, M. and J. Freyhof , 2007 Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",12,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 75280","Kulichenko, N.I. , 1957 Some data on age and growth of Amur carp - Cyprinus carpio haematopterus Temminck et Schlegel and black carp - Mylopharyngodon piceus Richardson. Trudy Amurskoi Ikhtiologicheskoi Ekspeditsii 1945-1949 gg. Vol. 4. P. 159-164.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",28,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",17,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",9,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",5,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",6,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",7,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",4,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",15,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",24,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",17,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",15,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",6,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",6,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",7,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",3,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",12,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",12,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 88006","Winker, H., O.L.F. Weyl, A.J. Booth and B.R. Ellender , 2011 Life history and population dynamics of invasive common carp, Cyprinus carpio within a large turbid African impoundment. Mar. Freshwat. Res. CSIRO Publishing. http://dx.doi.org/10.1071/MF11054","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",20,"19.38 ± 15.09",15,"FishBase","FishBase ref no.: 120613","Eakins, R.J. , 2019 Common carp. Ontario Freshwater Fishes Life History Database. Version 4.85. Online database. (http://www.ontariofishes.ca; http://www.ontariofishes.ca/home.htm), accessed 26 June 2019.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",47,"19.38 ± 15.09",15,"AnAge","AnAge ref no.: 1","Carey and Judge (2000) Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",47,"19.38 ± 15.09",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [71]","Flower, M.S.S., 1935. Further notes on the duration of life in animals. - I. Fishes: as determined by otolith and scale - readings and direct observations on living animals. Proceedings of the Zoological Society of London 1935: 265.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",20,"19.38 ± 15.09",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [125]","McCrimmon, H.R., 1968. Carp in Canada. Bulletin of the Fisheries Reserve Board of Canada 165: 93.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",6,"19.38 ± 15.09",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [70]","Flower, M.S.S., 1925. Contributions to our knowledge of the duration of life in vertebrate animals - I. Fishes. Proceedings of the Zoological Society of London 1925(1): 247-267.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Cyprinus carpio",38,"19.38 ± 15.09",15,"Max Plank Institute for Demographic Research","MPIDR ref no.: [98]","Hinton, 1962. Horned shark, gar, mormyriad, characin, carp, armored catfish, arowana, upside down catfish.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Cyprinus",1,32
"Gymnocypris eckloni",12,"12 ± NA",12,"FishBase","FishBase ref no.: 119338","Ma, B., Y. Nie, K. Wei, B. Xu, X. Zhu and J. Xu , 2018 Estimates on age, growth, and mortality of Gymnocypris firmispinatus (Cyprinidae: Schizothoracinae) in the Anning River, China. Journal of Oceanology and Limnology, 1-9.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Gymnocypris",1,1
"Labeo rohita",10,"10 ± 0",10,"FishBase","FishBase ref no.: 56","Khan, H.A. and V.G. Jhingran , 1975 Synopsis of biological data on rohu Labeo rohita (Hamilton, 1822). FAO Fish. Synop. (111):100 p.","Actinopteri",425,"Cypriniformes",32,"Cyprinidae",10,"Labeo",1,3
