FP006194 lamp2_1
FP009147 CLCN5-1_1
FP006010 SH3BGRL_1
FP008985 phpt1_1
FP000038 atp1a1a.2_1
FP007375 cnksr1_1
FP009564 si:dkey-222p3.1_1
FP008537 spata18_1
FP006306 si:dkey-7i4.16_1
FP001189 sepw2b_1
FP006438 zgc:112083_1
FP001488 arl16_1
FP009293 necap2_1
FP008295 trioa_1
FP007045 zgc:162160_1
FP004155 kctd4_1
FP003558 srp19_1
FP010075 C24H3orf58-2_1
FP003564 cdc14b-1_2
FP000096 zgc:77880_1
FP000206 arfip1_1
FP010622 sqrdl_1
FP009354 si:dkey-15h8.10_1
FP007872 kifc3_1
FP002965 lrig2_1
FP004281 si:dkey-100n23.4_1
FP006839 apoa4_1
FP007345 ERICH1_2
FP002435 ssna1_1
FP003641 pip5k1bb_1
FP004914 ttll7_1
FP000758 hectd3_1
FP009902 myt1a_2
FP005517 pax2b_1
FP010706 ch211-113a14.14-3_1
FP008110 nr1d2b_1
FP003823 mgll_1
FP003562 ubox5_1
FP000847 cenpl_1
FP007296 si:ch73-56p18.4_1
FP004685 med13a_1
FP001991 elac1_1
FP001131 dhrs7b_1
FP008480 fam20b_1
FP003259 slc7a6os_1
FP005941 acoxl_1
FP001970 DHX33_1
FP007584 eif2a_1
FP007029 gbp_1
FP010724 rfwd3_1
FP002614 bin1_1
FP001136 mrps34_1
FP007507 otx2_1
FP007709 snapc5_1
FP001795 sox5_1
FP001439 shmt1_1
FP001502 atp5h_1
FP002406 tia1_1
FP005403 hoxb6b_1
FP010153 cct5_1
FP009785 taf13_1
FP008568 exoc1_1
FP005924 btbd9_1
FP005897 sfrp5_1
FP003736 npl_1
FP009128 pygma_1
FP001113 fam173a_1
FP007213 khk_1
FP002660 si:dkey-276l13.6_1
FP010599 pim3_1
FP010277 alg14_1
FP001622 yeats4_1
FP007468 mbip_1
FP001172 msrb1a_1
FP004051 hoxd12a_1
FP000545 si:ch211-188c16.1_1
FP002241 lmo4a_1
FP009268 ammecr1_1
FP006215 pitx2_2
FP005130 zgc:194981_2
FP007141 siva1_1
FP003797 si:ch211-199o1.2_1
FP006412 cul5a_1
FP003872 ghra_1
FP003805 ampd2_1
FP002809 ndufb5_1
FP007299 plekha1_1
FP010163 commd3_1
FP009509 C22H19orf60_1
FP001852 nup107_1
FP004997 si:ch211-86h15.1_1
FP006652 cers2b_1
FP003284 zgc:162945_1
FP001633 dus4l_1
FP009873 tmem107l_1
FP005541 bub3_1
FP003167 FIS1_1
FP000983 exoc3_1
FP002901 sec61a1_1
FP009992 gltpd1_1
FP009585 PCBP4_1
FP007291 ube2d1a_1
FP003507 znf143a_1
FP002187 ehmt1a_1
FP003348 syt13_1
FP003145 ndufs2_1
FP000332 mogs_1
FP001249 dexi_1
FP005463 galk1_1
FP000479 khsrp_1
FP003248 rps13_1
FP008932 si:dkey-163m14.7_1
FP010401 efcab4a_1
FP002973 slc25a22_2
FP000262 si:ch211-269i23.2_1
FP000422 spast_1
FP005502 cdc42ep4b_1
FP005046 cstf1_1
FP007074 tmem147_1
FP010590 fnbp4_1
FP004417 igfbp2b_1
FP003237 senp3b_1
FP002544 mob1a_1
FP008210 khdrbs1b_2
FP009014 med15_1
FP000710 mknk2a_2
FP005133 gnb4b_1
FP000571 wdr33_1
FP010710 zgc:173552_1
FP007120 ptdss1a_1
FP006713 tapbpl_1
FP008628 E2F6_1
FP002623 ubn2_1
FP008869 si:ch73-299h12.8_1
FP005095 CU929160.1_1
FP007620 rabl2_1
FP000338 suclg1_1
FP010158 ptgdsb_1
FP001619 pwp1_1
FP008322 sesn2_1
FP003628 cdk16-1_1
FP002009 slc2a11b_1
FP010448 si:dkey-52p2.7_1
FP004101 u2af1_1
FP009942 slc48a1a_1
FP009738 zgc:153722_1
FP001802 cwf19l1_1
FP000109 mtp-1_1
FP008947 nedd4l_1
FP006304 im:7143333_1
FP006908 tmem67_1
FP000345 crybb1l2_1
FP008373 smim8_1
FP005078 chchd4_1
FP004431 tbr1b_1
FP009164 arl3l1_1
FP008557 mrpl19_1
FP002016 rfc5_1
FP000933 crema_1
FP010476 cecr1a_1
FP005293 pcgf5b_1
FP003743 mknk2b_1
FP007142 ZBTB42_1
FP006677 bckdhb_1
FP000958 fam102ba_1
FP002288 hnrpl_2
FP000112 tdrd7_1
FP006396 hnf1ba_1
FP004095 CARKD_1
FP000976 rorcb_1
FP009177 si:dkey-71d15.2_1
FP009300 srsf3b_1
FP004140 C9H3orf38_1
FP009955 fam50a_1
FP009857 si:ch211-156j22.4_1
FP006946 phf20l1_1
FP005712 hk1_1
FP007492 plk4_1
